INFO 2025-07-23 16:52:21,969 autoreload 9 127040883932032 Watching for file changes with StatReloader
INFO 2025-07-23 16:52:23,368 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:23,399 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3051
INFO 2025-07-23 16:52:28,357 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:28,390 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:33,357 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:33,399 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:38,351 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:38,371 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:43,357 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:43,388 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:48,360 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:48,398 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:53,360 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:53,392 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:52:58,358 basehttp 9 127040800941760 "GET /metrics HTTP/1.1" 301 0
INFO 2025-07-23 16:52:58,392 basehttp 9 127040800941760 "GET /metrics/ HTTP/1.1" 200 3037
INFO 2025-07-23 16:53:01,579 basehttp 9 127040783107776 "GET / HTTP/1.1" 302 0
INFO 2025-07-23 16:53:01,634 basehttp 9 127040783107776 "GET /swagger/ HTTP/1.1" 200 1622
INFO 2025-07-23 16:53:01,709 basehttp 9 127040783107776 "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2025-07-23 16:53:01,717 basehttp 9 127040791500480 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
